hid,geo1,geo2,ea,urbrur,hhsize,statocc,rooms,bedrooms,floor,walls,roof,water,piped_water,toilet,flush_toilet,electricity,cook_fuel,phone,cell,car,bicycle,motorcycle,refrigerator,tv,radio,bank,deaths_12m,exp_01,exp_02,exp_03,exp_04,exp_05,exp_06,exp_07,exp_08,exp_09,exp_10,exp_11,exp_12,tot_exp,tot_food,share_food,pc_exp,quint_nat,quint_urb,quint_rur,hhweight,popweight
00a191396a2,1,11,11066,2,1,1,1,1,2,3,5,61,0,21,2,1,2,0,0,0,0,0,1,1,0,0,0,1279,162,266,1662,153,63,372,103,76,38,544,326,5044,1279,0.2540000081062317,5044.0,5,4,,322.9722008679479,322.9722008679479
0111c7fa67c,1,11,11066,2,1,2,1,0,2,6,5,11,1,22,2,1,3,0,1,0,0,0,0,0,0,1,0,1755,71,279,676,258,78,273,264,103,90,571,234,4652,1755,0.37700000405311584,4652.0,5,4,,322.9722008679479,322.9722008679479
01410d9c60d,1,11,11087,2,2,1,4,1,2,3,1,11,1,11,1,1,1,0,1,0,0,0,1,1,1,1,0,1722,59,696,3724,390,188,710,582,389,356,305,836,9957,1722,0.17299999296665192,4978.5,5,4,,256.1922345230715,512.384469046143
015ff82b55c,1,11,11094,2,2,1,1,1,2,3,5,11,1,21,2,1,2,0,1,0,0,0,1,1,0,1,0,3700,174,660,2921,340,238,1049,592,206,149,576,928,11533,3700,0.32100000977516174,5766.5,5,5,,268.3340465857763,536.6680931715526
01c39d3df0d,1,11,11094,2,1,2,3,2,6,3,1,31,0,13,1,1,4,1,1,1,0,0,1,1,0,1,0,1492,82,603,5556,957,165,2386,516,441,267,1395,689,14549,1492,0.10300000011920929,14549.0,5,5,,268.3340465857763,268.3340465857763
027fe2e901f,1,11,11003,2,2,1,3,2,2,3,1,11,1,11,1,1,2,1,0,0,0,0,1,1,1,0,0,2433,15,152,3900,286,331,210,660,112,31,45,347,8522,2433,0.2849999964237213,4261.0,5,4,,388.5379860065539,777.0759720131078
02afa0073ff,1,11,11024,2,3,2,4,2,2,3,1,11,1,11,1,1,2,0,1,1,0,0,0,1,1,1,0,3402,42,859,4202,591,699,1905,871,598,934,203,1050,15356,3402,0.22200000286102295,5118.66650390625,5,4,,381.85998937206625,1145.5799681161989
033e22694f2,1,11,11041,2,2,1,3,2,2,3,1,11,1,11,1,1,2,1,1,1,0,0,1,1,1,1,0,3214,43,531,6966,1208,650,2176,1891,551,234,342,1127,18933,3214,0.17000000178813934,9466.5,5,5,,289.5822176955097,579.1644353910194
03a770af9f0,1,11,11066,2,1,2,1,1,1,3,1,21,0,31,0,1,2,0,0,0,0,0,0,0,1,0,0,443,4,66,1216,27,45,52,12,12,8,37,85,2007,443,0.22100000083446503,2007.0,3,2,,322.9722008679479,322.9722008679479
0424d8c9572,1,11,11034,2,4,3,3,2,2,5,5,11,1,12,1,1,6,0,0,0,0,1,1,1,0,0,0,3680,13,360,1591,847,570,399,69,798,119,15,378,8839,3680,0.41600000858306885,2209.75,3,2,,271.3694996014525,1085.47799840581
0789ea38ac1,1,11,11024,2,5,1,5,3,6,3,1,11,1,11,1,1,2,1,1,1,1,0,1,1,1,1,0,5467,57,1360,8067,1514,1004,3912,2000,741,2354,567,1581,28624,5467,0.19099999964237213,5724.7998046875,5,5,,381.85998937206625,1909.2999468603311
09a4ff6c721,1,11,11066,2,1,2,1,1,1,3,1,11,1,22,2,1,2,0,1,0,0,0,1,1,0,1,0,1502,62,335,2281,237,130,505,369,103,58,578,479,6639,1502,0.22599999606609344,6639.0,5,5,,322.9722008679479,322.9722008679479
0a80d4963e3,1,11,11112,2,4,2,4,2,6,4,1,11,1,11,1,1,2,0,1,0,0,1,1,0,1,1,0,7165,58,1305,4491,2278,904,2073,445,1178,706,114,1044,21761,7165,0.32899999618530273,5440.25,5,5,,277.44040563280487,1109.7616225312195
0cf3b3d077d,1,11,11094,2,2,1,1,1,2,2,5,11,1,21,2,1,4,0,1,0,0,0,1,1,1,1,0,2986,116,330,1950,224,100,348,360,120,101,349,481,7465,2986,0.4000000059604645,3732.5,4,4,,268.3340465857763,536.6680931715526
0d325ab1cec,1,11,11066,2,1,1,1,0,2,7,5,11,1,96,2,0,3,0,1,0,0,0,0,1,0,1,0,1029,220,410,628,292,32,286,339,183,39,199,317,3974,1029,0.2590000033378601,3974.0,4,4,,322.9722008679479,322.9722008679479
0f8b12b37f6,1,11,11094,2,2,1,1,1,2,3,1,11,1,11,1,1,3,0,0,0,0,0,0,0,0,0,0,2120,74,495,2425,159,151,343,110,118,194,502,612,7303,2120,0.28999999165534973,3651.5,4,3,,268.3340465857763,536.6680931715526
100c3c3ac80,1,11,11036,2,2,1,3,2,6,3,1,11,1,11,1,1,2,1,1,1,0,0,1,1,1,1,1,3196,49,658,8231,1526,541,2609,1679,578,331,663,1072,21133,3196,0.1509999930858612,10566.5,5,5,,270.7624089983172,541.5248179966344
10222513fe6,1,11,11041,2,2,1,5,3,6,3,1,11,1,11,1,1,2,1,0,0,0,0,1,1,1,0,0,2659,25,219,6844,435,360,323,924,151,49,108,461,12558,2659,0.21199999749660492,6279.0,5,5,,289.5822176955097,579.1644353910194
106dd8d8567,1,11,11003,2,1,1,5,1,2,3,1,11,1,11,1,1,2,0,1,0,0,0,1,1,1,1,0,1342,43,327,5154,490,246,537,606,269,39,258,456,9767,1342,0.13699999451637268,9767.0,5,5,,388.5379860065539,388.5379860065539
1197fce0f9d,1,11,11094,2,2,2,1,1,2,3,1,21,0,11,1,1,2,0,0,0,0,0,1,1,1,0,1,2118,35,343,2146,167,121,408,109,77,92,264,540,6420,2118,0.33000001311302185,3210.0,4,3,,268.3340465857763,536.6680931715526
1321ad8fb64,1,11,11041,2,2,1,7,2,6,4,1,11,1,11,1,1,2,1,1,1,0,0,1,1,1,1,0,5172,37,557,8204,3023,1109,2493,1515,1625,160,109,1260,25264,5172,0.20499999821186066,12632.0,5,5,,289.5822176955097,579.1644353910194
1331ebf49fa,1,11,11112,2,4,1,2,1,6,3,1,12,2,11,1,1,2,1,1,1,0,1,1,1,1,1,0,3997,54,1300,4992,1132,534,3854,1335,650,1135,702,1437,21122,3997,0.1889999955892563,5280.5,5,4,,277.44040563280487,1109.7616225312195
133fbc89c89,1,11,11034,2,2,2,1,1,2,3,6,11,1,11,1,1,2,0,1,0,0,0,1,1,1,1,0,2853,163,703,2566,502,253,1016,750,351,163,733,773,10826,2853,0.2639999985694885,5413.0,5,5,,271.3694996014525,542.738999202905
1427a498908,1,11,11027,2,9,1,5,3,2,3,5,11,1,22,2,1,5,0,1,0,1,0,1,1,1,1,0,8778,292,905,5581,586,336,1667,362,721,1097,968,558,21851,8778,0.4020000100135803,2427.888916015625,3,2,,314.47293242405453,2830.2563918164906
14397015d15,1,11,11041,2,2,1,7,4,6,4,1,11,1,11,1,1,5,1,1,1,0,0,1,1,1,1,0,5682,41,557,11868,2992,1017,2692,1708,1412,139,187,1451,29746,5682,0.19099999964237213,14873.0,5,5,,289.5822176955097,579.1644353910194
151c153bc7e,1,11,11041,2,1,1,1,1,2,3,1,11,1,11,1,1,2,0,1,0,0,0,1,0,0,0,0,1602,16,214,3418,210,212,331,307,68,36,199,386,6999,1602,0.2290000021457672,6999.0,5,5,,289.5822176955097,289.5822176955097
17c98c7404c,1,11,11024,2,4,1,4,2,2,3,5,11,1,11,1,1,2,1,1,1,0,0,1,1,1,1,1,4204,87,759,7208,1170,694,3953,2064,698,640,413,1432,23322,4204,0.18000000715255737,5830.5,5,5,,381.85998937206625,1527.439957488265
17e026a244f,1,11,11003,2,3,1,3,1,2,3,1,11,1,11,1,1,4,0,1,0,0,0,1,0,1,0,0,2915,20,438,4456,242,246,323,351,114,369,219,712,10405,2915,0.2800000011920929,3468.333251953125,4,3,,388.5379860065539,1165.6139580196618
19f81a3651c,1,11,11112,2,6,1,9,3,6,3,1,11,1,11,1,1,2,1,1,1,1,1,1,1,1,1,0,8129,144,2965,12980,2967,1287,8447,3542,2102,4183,1730,2854,51330,8129,0.15800000727176666,8555.0,5,5,,277.44040563280487,1664.6424337968292
1a99be8dcaf,1,11,11036,2,2,1,1,0,6,3,1,11,1,11,1,1,2,1,1,0,0,0,1,1,1,1,0,1648,13,208,3109,364,224,295,700,107,47,137,389,7241,1648,0.2280000001192093,3620.5,4,3,,270.7624089983172,541.5248179966344
1bd825df0cc,1,11,11003,2,2,1,3,1,6,3,1,11,1,11,1,1,2,0,0,0,0,0,1,1,1,0,0,1678,12,133,3541,128,181,156,164,43,21,53,267,6377,1678,0.2630000114440918,3188.5,4,3,,388.5379860065539,777.0759720131078
1cc2796186f,1,11,11041,2,1,1,1,1,6,3,5,11,1,11,1,1,3,0,0,0,0,0,0,0,1,0,0,567,37,133,1639,66,27,51,28,41,16,148,96,2849,567,0.19900000095367432,2849.0,4,3,,289.5822176955097,289.5822176955097
1e2c7908b70,1,11,11087,2,2,1,3,2,6,4,1,61,0,11,1,1,3,0,0,1,0,0,1,1,1,1,0,5855,38,618,5086,1635,535,3129,299,1233,186,160,846,19620,5855,0.2980000078678131,9810.0,5,5,,256.1922345230715,512.384469046143
1ec3b1b76a2,1,11,11034,2,1,1,4,3,2,3,1,11,1,11,1,1,2,0,0,0,0,0,1,0,1,0,0,1257,30,222,3527,137,103,211,180,90,69,159,347,6332,1257,0.19900000095367432,6332.0,5,5,,271.3694996014525,271.3694996014525
1ffddef4ebe,1,11,11094,2,3,2,2,2,2,3,5,61,0,21,2,1,2,0,0,0,0,0,1,1,1,0,0,2388,69,327,2141,128,116,390,74,97,156,157,543,6586,2388,0.3630000054836273,2195.333251953125,3,2,,268.3340465857763,805.0021397573289
22dfb939642,1,11,11003,2,3,1,3,2,2,3,1,11,1,11,1,1,2,1,1,1,0,0,1,1,1,1,0,3658,22,439,5747,935,791,1350,1338,321,227,142,891,15861,3658,0.23100000619888306,5287.0,5,4,,388.5379860065539,1165.6139580196618
2358ac5a0d0,1,11,11024,2,4,1,6,2,6,3,1,11,1,11,1,1,2,0,1,1,0,0,1,1,1,1,0,4734,83,1770,7173,1277,654,4762,1279,1037,2568,941,1532,27810,4734,0.17000000178813934,6952.5,5,5,,381.85998937206625,1527.439957488265
258b968d304,1,11,11066,2,1,3,2,1,1,2,5,11,1,96,2,1,2,0,0,0,0,0,0,0,1,0,0,1412,112,115,1161,87,55,150,22,36,16,88,120,3374,1412,0.4180000126361847,3374.0,4,3,,322.9722008679479,322.9722008679479
263e9ff55f1,1,11,11027,2,8,1,1,1,2,2,5,11,1,21,2,1,4,0,1,0,0,0,0,1,0,0,0,8938,100,891,2491,624,480,724,498,422,533,1099,695,17495,8938,0.5109999775886536,2186.875,3,2,,314.47293242405453,2515.7834593924363
26b917399eb,1,11,11066,2,1,1,1,0,2,8,5,11,1,11,1,1,1,0,1,0,0,0,1,1,1,1,0,933,57,406,900,566,64,303,230,324,70,76,746,4675,933,0.20000000298023224,4675.0,5,4,,322.9722008679479,322.9722008679479
283877c3de7,1,11,11087,2,2,3,2,1,2,3,1,11,1,11,1,1,2,1,1,0,0,0,1,1,1,1,0,2525,47,550,3561,580,267,769,1341,421,319,379,787,11546,2525,0.21899999678134918,5773.0,5,5,,256.1922345230715,512.384469046143
2a22a28718a,1,11,11024,2,5,1,3,2,2,3,1,11,1,11,1,1,2,1,1,1,1,1,1,1,1,1,0,5099,63,1414,5629,1052,723,3105,1797,837,2449,544,1491,24203,5099,0.210999995470047,4840.60009765625,5,4,,381.85998937206625,1909.2999468603311
2b2063d20ee,1,11,11087,2,2,1,3,1,2,3,1,11,1,11,1,1,2,0,0,0,0,0,1,1,1,1,0,1511,24,237,2313,142,116,269,152,93,77,116,401,5451,1511,0.2770000100135803,2725.5,4,3,,256.1922345230715,512.384469046143
2c62bd0966f,1,11,11066,2,1,2,1,1,2,5,8,31,0,31,0,1,4,0,0,0,0,0,0,0,0,0,0,654,79,131,374,140,22,88,41,38,15,395,96,2073,654,0.3149999976158142,2073.0,3,2,,322.9722008679479,322.9722008679479
