hid,idno,relation,sex,age,age_month,marstat,religion,school_attend,educ_attain,yrs_school,literacy,act_status,labor_force,occupation,industry,migrate_recent,disability,blind,deaf,mental,ch_weight,ch_height,children_born,children_surv,births_12m,hhweight
00a191396a2,1,1,1,31,,1,6,1,3,15,1,1,1,9,5,0,0,0,0,0,,,,,,322.9722008679479
0111c7fa67c,1,1,2,54,,2,6,2,1,0,1,3,2,0,0,20,0,0,0,0,,,1,1,0,322.9722008679479
01410d9c60d,1,1,1,32,,2,6,1,3,15,1,1,1,5,11,11,0,0,0,0,,,,,,256.1922345230715
01410d9c60d,2,4,2,55,,4,6,4,1,0,1,3,2,0,0,11,0,0,0,0,,,,,,256.1922345230715
015ff82b55c,1,1,1,54,,2,7,4,1,0,1,1,1,7,3,12,0,0,0,0,,,,,,268.3340465857763
015ff82b55c,2,2,2,46,,2,6,4,1,0,1,1,1,11,6,30,0,0,0,0,,,2,2,0,268.3340465857763
01c39d3df0d,1,1,1,41,,2,7,1,3,14,1,1,1,2,0,20,0,0,0,0,,,,,,268.3340465857763
027fe2e901f,1,1,2,76,,2,6,4,1,0,1,3,2,0,0,0,0,0,0,0,,,13,12,,388.5379860065539
027fe2e901f,2,2,1,74,,2,6,2,1,0,1,3,2,0,0,99,0,0,1,0,,,,,,388.5379860065539
02afa0073ff,1,1,1,55,,2,6,1,4,17,1,1,1,2,11,20,0,0,0,0,,,,,,381.85998937206625
02afa0073ff,2,2,2,38,,2,6,1,4,17,1,1,1,2,11,20,0,0,0,0,,,1,1,0,381.85998937206625
02afa0073ff,3,3,2,6,,1,6,1,1,0,1,0,0,0,0,20,0,0,0,0,,,,,,381.85998937206625
033e22694f2,1,1,2,46,,1,6,1,3,14,1,1,1,5,15,0,0,0,0,0,,,0,,0,289.5822176955097
033e22694f2,2,4,1,87,,4,6,3,3,14,1,3,2,0,0,11,1,1,1,1,,,,,,289.5822176955097
03a770af9f0,1,1,1,67,,3,6,4,1,0,1,1,1,6,1,20,0,0,0,0,,,,,,322.9722008679479
0424d8c9572,1,1,1,37,,1,6,3,1,3,1,1,1,7,5,99,0,0,0,0,,,,,,271.3694996014525
0424d8c9572,2,4,1,33,,1,6,3,1,3,1,3,2,0,0,99,0,0,0,0,,,,,,271.3694996014525
0424d8c9572,3,4,2,58,,4,6,3,1,1,2,1,1,9,6,99,0,0,0,0,,,10,8,0,271.3694996014525
0424d8c9572,4,4,1,78,,3,6,2,1,0,2,1,1,5,6,99,0,0,0,0,,,,,,271.3694996014525
0789ea38ac1,1,1,1,61,,2,6,3,3,14,1,1,1,1,10,0,0,0,0,0,,,,,,381.85998937206625
0789ea38ac1,2,2,2,60,,2,6,3,4,17,1,3,2,0,0,99,0,0,0,0,,,4,4,0,381.85998937206625
0789ea38ac1,3,3,2,23,,2,6,1,2,10,1,3,2,0,0,99,0,0,0,0,,,0,,0,381.85998937206625
0789ea38ac1,4,3,2,29,,1,6,3,4,17,1,1,1,2,13,99,0,0,0,0,,,0,,0,381.85998937206625
0789ea38ac1,5,4,2,17,,1,6,1,2,8,1,3,2,0,0,20,0,0,0,0,,,0,,0,381.85998937206625
09a4ff6c721,1,1,2,45,,3,7,3,2,9,1,1,1,9,15,20,1,1,0,0,,,1,1,0,322.9722008679479
0a80d4963e3,1,1,1,36,,2,5,3,4,17,1,1,1,2,12,20,0,0,0,0,,,,,,277.44040563280487
0a80d4963e3,2,2,2,26,,2,5,3,4,13,1,1,1,2,12,11,0,0,0,0,,,2,2,0,277.44040563280487
0a80d4963e3,3,3,1,2,27,1,5,1,0,,0,0,0,0,0,20,0,0,0,0,12.07,86.7,,,,277.44040563280487
0a80d4963e3,4,3,2,2,26,1,5,1,0,,0,0,0,0,0,20,0,0,0,0,11.18,84.7,,,,277.44040563280487
0cf3b3d077d,1,1,1,39,,2,6,3,3,12,1,1,1,9,9,30,1,1,0,0,,,,,,268.3340465857763
0cf3b3d077d,2,2,2,29,,2,6,3,3,13,1,1,1,4,9,30,1,1,0,0,,,0,,0,268.3340465857763
0d325ab1cec,1,1,1,53,,2,6,3,2,6,1,1,1,9,5,20,0,0,0,0,,,,,,322.9722008679479
0f8b12b37f6,1,1,1,26,,2,6,3,1,5,1,1,1,5,6,20,0,0,0,0,,,,,,268.3340465857763
0f8b12b37f6,2,2,2,21,,2,6,4,1,0,1,3,2,0,0,99,0,0,0,0,,,0,,0,268.3340465857763
100c3c3ac80,1,1,1,51,,3,6,3,3,13,1,1,1,5,7,20,0,0,0,0,,,,,,270.7624089983172
100c3c3ac80,2,4,2,82,,4,6,3,2,7,1,3,2,0,0,20,0,0,0,0,,,3,2,0,270.7624089983172
10222513fe6,1,1,1,70,,2,6,4,1,0,1,3,2,0,0,20,0,0,0,0,,,,,,289.5822176955097
10222513fe6,2,2,2,67,,2,6,3,1,3,1,3,2,0,0,20,0,0,0,0,,,3,2,0,289.5822176955097
106dd8d8567,1,1,1,70,,3,6,3,1,3,1,3,2,0,0,20,0,0,0,0,,,,,,388.5379860065539
1197fce0f9d,1,1,1,27,,2,1,3,3,14,1,1,1,5,7,30,0,0,0,0,,,,,,268.3340465857763
1197fce0f9d,2,2,2,22,,2,1,3,3,14,1,1,1,3,6,99,0,0,0,0,,,0,,0,268.3340465857763
1321ad8fb64,1,1,1,70,,2,6,1,4,18,1,3,2,0,0,30,0,0,0,0,,,,,,289.5822176955097
1321ad8fb64,2,2,2,66,,2,6,1,4,17,1,3,2,0,0,10,0,0,0,0,,,2,2,0,289.5822176955097
1331ebf49fa,1,1,2,34,,2,6,3,3,15,1,1,1,3,13,12,0,0,0,0,,,2,2,0,277.44040563280487
1331ebf49fa,2,2,1,55,,2,6,3,3,13,1,1,1,2,13,11,0,0,0,0,,,,,,277.44040563280487
1331ebf49fa,3,3,1,1,20,1,6,1,1,0,0,0,0,0,0,11,0,0,0,0,10.56,81.8,,,,277.44040563280487
1331ebf49fa,4,3,2,4,53,1,6,1,1,0,0,0,0,0,0,11,0,0,0,0,16.03,103.9,,,,277.44040563280487
133fbc89c89,1,1,1,53,,2,6,3,2,8,1,1,1,8,6,20,0,0,0,0,,,,,,271.3694996014525
133fbc89c89,2,2,2,49,,2,6,3,1,3,1,3,2,0,0,20,0,0,0,0,,,1,1,0,271.3694996014525
1427a498908,1,1,1,62,,2,6,3,2,7,1,2,1,0,0,20,0,0,0,0,,,,,,314.47293242405453
1427a498908,2,2,2,61,,2,6,3,1,4,1,2,1,0,0,20,0,0,0,0,,,10,10,0,314.47293242405453
1427a498908,3,3,1,15,,1,6,1,2,10,1,2,1,0,0,10,0,0,0,0,,,,,,314.47293242405453
1427a498908,4,3,2,17,,1,6,1,2,10,1,2,1,0,0,10,0,0,0,0,,,0,,0,314.47293242405453
1427a498908,5,3,1,21,,1,6,3,2,7,1,2,1,0,0,10,1,0,0,1,,,,,,314.47293242405453
1427a498908,6,3,2,28,,2,6,3,3,12,1,2,1,0,0,99,0,0,0,0,,,0,,0,314.47293242405453
1427a498908,7,3,2,30,,2,6,3,2,7,1,2,1,0,0,20,0,0,0,0,,,2,2,0,314.47293242405453
1427a498908,8,4,2,5,,1,6,2,1,0,2,0,0,0,0,10,0,0,0,0,,,,,,314.47293242405453
1427a498908,9,4,2,7,,1,6,1,1,1,1,0,0,0,0,10,0,0,0,0,,,,,,314.47293242405453
14397015d15,1,1,1,64,,2,6,4,1,0,1,2,1,0,0,11,0,0,0,0,,,,,,289.5822176955097
14397015d15,2,2,2,68,,2,6,4,1,0,1,3,2,0,0,30,0,0,0,0,,,0,,0,289.5822176955097
151c153bc7e,1,1,2,72,,1,6,4,1,0,1,1,1,9,15,20,1,0,0,0,,,0,,0,289.5822176955097
17c98c7404c,1,1,2,47,,2,6,3,2,8,1,3,2,0,0,99,0,0,0,0,,,1,1,0,381.85998937206625
